rank,status,BACKTEST_START_DATE,BACKTEST_END_DATE,BACKTEST_MIN_STOCK_HOLDING,BACKTEST_LONG_QUANTILE,BACKTEST_SHORT_QUANTILE,BACKTEST_INCLUDE_ALPHA_BUCKET,ROLLING_WINDOW,INSUFFICIENT_DATA_THRESHOLD,FULL_SAMPLE_FALLBACK_MAX,ALPHA_TRAILING_WINDOW,P_VALUE_THRESHOLD,SMB_STABILITY_THRESHOLD,HML_STABILITY_THRESHOLD,FACTOR_COLUMNS,score,Strategy Ann. Return,Benchmark (EW) Ann. Return,Benchmark (VW) Ann. Return,Strategy Sharpe,Benchmark (EW) Sharpe,Benchmark (VW) Sharpe,Information Ratio (vs EW),Information Ratio (vs VW),Strategy Max Drawdown,Monthly Hit Rate (vs EW),Return Months,Rebalance Years,search_batch_time
1,completed,2015-01-01,2025-12-31,80,0.2,0,False,36,36,48,120.0,0.05,1.5,1.5,"mkt_rf, smb, hml, mom",11.628333,13.74%,11.58%,13.19%,0.92,0.77,0.86,0.67,0.16,-24.36%,60.83%,120,10,2026-06-04 20:55:38
2,completed,2010-01-01,2025-12-31,80,0.1,0,False,36,36,48,60.0,0.05,1.5,1.5,"mkt_rf, smb, hml, cma",11.5875,12.85%,11.11%,12.58%,0.90,0.78,0.88,0.51,0.07,-21.99%,56.67%,180,15,2026-06-04 20:55:38
3,completed,2015-01-01,2025-12-31,80,0.3,0,False,36,36,48,60.0,0.05,1.5,1.5,"mkt_rf, smb, hml, cma",11.480833,13.47%,11.58%,13.19%,0.88,0.77,0.86,0.61,0.09,-22.82%,62.50%,120,10,2026-06-04 20:55:38
4,completed,2015-01-01,2025-12-31,80,0.3,0,False,36,36,48,60.0,0.05,1.5,1.5,"mkt_rf, smb, hml, rmw",11.435833,13.55%,11.58%,13.19%,0.87,0.77,0.86,0.74,0.12,-23.79%,53.33%,120,10,2026-06-04 20:55:38
5,completed,2015-01-01,2025-12-31,80,0.3,0,False,36,36,48,120.0,0.05,1.5,1.5,"mkt_rf, smb, hml, mom",11.428333,13.64%,11.58%,13.19%,0.91,0.77,0.86,0.69,0.12,-24.47%,60.00%,120,10,2026-06-04 20:55:38
6,completed,2015-01-01,2025-12-31,80,0.3,0,False,36,36,48,120.0,0.05,1.5,1.5,"mkt_rf, smb, hml",11.360833,13.63%,11.58%,13.19%,0.91,0.77,0.86,0.67,0.12,-24.63%,57.50%,120,10,2026-06-04 20:55:38
7,completed,2015-01-01,2025-12-31,80,0.1,0,False,36,36,48,60.0,0.05,1.5,1.5,"mkt_rf, smb, hml, cma",11.235833,13.26%,11.58%,13.19%,0.88,0.77,0.86,0.44,0.01,-21.99%,57.50%,120,10,2026-06-04 20:55:38
8,completed,2015-01-01,2025-12-31,80,0.1,0,False,36,36,48,120.0,0.05,1.5,2.0,"mkt_rf, smb, hml, rmw, cma, mom",11.228333,13.58%,11.58%,13.19%,0.87,0.77,0.86,0.65,0.12,-24.65%,54.17%,120,10,2026-06-04 20:55:38
9,completed,2015-01-01,2025-12-31,70,0.3,0,False,36,36,48,60.0,0.05,1.5,1.5,"mkt_rf, smb, hml, cma",11.188333,13.31%,11.56%,13.10%,0.87,0.77,0.86,0.57,0.07,-22.82%,63.33%,120,10,2026-06-04 20:55:38
10,completed,2015-01-01,2025-12-31,60,0.3,0,False,36,36,48,60.0,0.05,1.5,1.5,"mkt_rf, smb, hml, cma",11.188333,13.31%,11.56%,13.10%,0.87,0.77,0.86,0.57,0.07,-22.82%,63.33%,120,10,2026-06-04 20:55:38
11,completed,2015-01-01,2025-12-31,80,0.3,0,False,36,36,48,,0.05,1.5,1.5,"mkt_rf, smb, hml",11.173333,13.63%,11.58%,13.19%,0.90,0.77,0.86,0.70,0.14,-25.41%,55.00%,120,10,2026-06-04 20:55:38
12,completed,2015-01-01,2025-12-31,80,0.1,0,False,36,36,48,36.0,0.05,1.5,2.0,"mkt_rf, smb, hml, mom",11.150833,13.86%,11.58%,13.19%,0.92,0.77,0.86,0.50,0.14,-26.77%,53.33%,120,10,2026-06-04 20:55:38
13,completed,2010-01-01,2025-12-31,80,0.3,0,False,36,36,48,60.0,0.05,1.5,1.5,"mkt_rf, smb, hml, cma",11.14,12.70%,11.11%,12.58%,0.89,0.78,0.88,0.57,0.04,-22.82%,60.00%,180,15,2026-06-04 20:55:38
14,completed,2015-01-01,2025-12-31,80,0.1,0,False,36,36,48,36.0,0.05,2.0,1.5,"mkt_rf, smb, hml, rmw, mom",11.098333,13.66%,11.58%,13.19%,0.87,0.77,0.86,0.72,0.13,-25.87%,59.17%,120,10,2026-06-04 20:55:38
15,completed,2010-01-01,2025-12-31,80,0.2,0,False,36,36,48,60.0,0.05,1.5,1.5,"mkt_rf, smb, hml, cma",11.085,12.78%,11.11%,12.58%,0.89,0.78,0.88,0.57,0.06,-23.60%,53.33%,180,15,2026-06-04 20:55:38
16,completed,2015-01-01,2025-12-31,70,0.3,0,False,36,36,48,120.0,0.05,1.5,1.5,"mkt_rf, smb, hml, mom",11.078333,13.45%,11.56%,13.10%,0.90,0.77,0.86,0.64,0.10,-24.47%,60.00%,120,10,2026-06-04 20:55:38
17,completed,2015-01-01,2025-12-31,60,0.3,0,False,36,36,48,120.0,0.05,1.5,1.5,"mkt_rf, smb, hml, mom",11.078333,13.45%,11.56%,13.10%,0.90,0.77,0.86,0.64,0.10,-24.47%,60.00%,120,10,2026-06-04 20:55:38
18,completed,2015-01-01,2025-12-31,70,0.3,0,False,36,36,48,120.0,0.05,1.5,1.5,"mkt_rf, smb, hml",11.068333,13.47%,11.56%,13.10%,0.90,0.77,0.86,0.63,0.10,-24.63%,56.67%,120,10,2026-06-04 20:55:38
19,completed,2015-01-01,2025-12-31,60,0.3,0,False,36,36,48,120.0,0.05,1.5,1.5,"mkt_rf, smb, hml",11.068333,13.47%,11.56%,13.10%,0.90,0.77,0.86,0.63,0.10,-24.63%,56.67%,120,10,2026-06-04 20:55:38
20,completed,2015-01-01,2025-12-31,80,0.3,0,False,36,36,48,,0.05,2.0,1.5,"mkt_rf, smb, hml",11.055833,13.56%,11.58%,13.19%,0.87,0.77,0.86,0.87,0.17,-25.64%,62.50%,120,10,2026-06-04 20:55:38
21,completed,2015-01-01,2025-12-31,80,0.1,0,False,48,48,48,,0.05,1.0,2.0,"mkt_rf, smb, hml, rmw, cma",11.043333,13.26%,11.58%,13.19%,0.84,0.77,0.86,0.46,0.05,-22.68%,56.67%,120,10,2026-06-04 20:55:38
22,completed,2015-01-01,2025-12-31,80,0.1,0,False,36,36,48,36.0,0.05,1.0,2.0,"mkt_rf, smb, hml, mom",11.025833,13.82%,11.58%,13.19%,0.91,0.77,0.86,0.50,0.15,-26.96%,54.17%,120,10,2026-06-04 20:55:38
23,completed,2010-01-01,2025-12-31,60,0.3,0,False,36,36,48,60.0,0.05,1.5,1.5,"mkt_rf, smb, hml, cma",10.985,12.60%,11.06%,12.52%,0.88,0.78,0.88,0.55,0.03,-22.82%,60.56%,180,15,2026-06-04 20:55:38
24,completed,2010-01-01,2025-12-31,70,0.3,0,False,36,36,48,60.0,0.05,1.5,1.5,"mkt_rf, smb, hml, cma",10.985,12.60%,11.06%,12.52%,0.88,0.78,0.88,0.55,0.03,-22.82%,60.56%,180,15,2026-06-04 20:55:38
25,completed,2015-01-01,2025-12-31,80,0.1,0,False,36,36,48,120.0,0.05,1.5,1.0,"mkt_rf, smb, hml, cma",10.950833,13.12%,11.58%,13.19%,0.89,0.77,0.86,0.32,-0.04,-21.94%,55.00%,120,10,2026-06-04 20:55:38
26,completed,2020-01-01,2025-12-31,80,0.1,0,False,36,36,48,60.0,0.05,1.5,1.5,"mkt_rf, smb, hml, cma",10.944167,12.55%,9.59%,11.07%,0.84,0.67,0.76,0.75,0.44,-21.99%,58.33%,60,5,2026-06-04 20:55:38
27,completed,2015-01-01,2025-12-31,80,0.3,0,True,36,36,48,60.0,0.05,1.5,1.5,"mkt_rf, smb, hml, cma",10.920833,13.32%,11.58%,13.19%,0.88,0.77,0.86,0.61,0.04,-24.01%,59.17%,120,10,2026-06-04 20:55:38
28,completed,2015-01-01,2025-12-31,60,0.3,0,False,36,36,48,,0.05,2.0,1.5,"mkt_rf, smb, hml",10.913333,13.47%,11.56%,13.10%,0.87,0.77,0.86,0.87,0.17,-25.64%,61.67%,120,10,2026-06-04 20:55:38
29,completed,2015-01-01,2025-12-31,70,0.3,0,False,36,36,48,60.0,0.05,1.5,1.5,"mkt_rf, smb, hml, rmw",10.913333,13.27%,11.56%,13.10%,0.86,0.77,0.86,0.66,0.07,-23.79%,54.17%,120,10,2026-06-04 20:55:38
30,completed,2015-01-01,2025-12-31,60,0.3,0,False,36,36,48,60.0,0.05,1.5,1.5,"mkt_rf, smb, hml, rmw",10.913333,13.27%,11.56%,13.10%,0.86,0.77,0.86,0.66,0.07,-23.79%,54.17%,120,10,2026-06-04 20:55:38
31,completed,2015-01-01,2025-12-31,70,0.3,0,False,36,36,48,,0.05,2.0,1.5,"mkt_rf, smb, hml",10.913333,13.47%,11.56%,13.10%,0.87,0.77,0.86,0.87,0.17,-25.64%,61.67%,120,10,2026-06-04 20:55:38
32,completed,2015-01-01,2025-12-31,60,0.1,0,False,36,36,48,36.0,0.05,1.0,2.0,"mkt_rf, smb, hml, mom",10.905833,13.74%,11.56%,13.10%,0.91,0.77,0.86,0.51,0.16,-26.96%,55.00%,120,10,2026-06-04 20:55:38
33,completed,2015-01-01,2025-12-31,70,0.1,0,False,36,36,48,36.0,0.05,1.0,2.0,"mkt_rf, smb, hml, mom",10.905833,13.74%,11.56%,13.10%,0.91,0.77,0.86,0.51,0.16,-26.96%,55.00%,120,10,2026-06-04 20:55:38
34,completed,2015-01-01,2025-12-31,70,0.3,0,False,36,36,48,,0.05,1.5,1.5,"mkt_rf, smb, hml",10.890833,13.47%,11.56%,13.10%,0.89,0.77,0.86,0.68,0.12,-25.41%,55.83%,120,10,2026-06-04 20:55:38
35,completed,2015-01-01,2025-12-31,60,0.3,0,False,36,36,48,,0.05,1.5,1.5,"mkt_rf, smb, hml",10.890833,13.47%,11.56%,13.10%,0.89,0.77,0.86,0.68,0.12,-25.41%,55.83%,120,10,2026-06-04 20:55:38
36,completed,2015-01-01,2025-12-31,80,0.2,0,False,48,48,48,120.0,0.05,2.0,2.0,"mkt_rf, smb, hml, mom",10.888333,13.32%,11.58%,13.19%,0.89,0.77,0.86,0.42,0.02,-23.79%,57.50%,120,10,2026-06-04 20:55:38
37,completed,2015-01-01,2025-12-31,80,0.1,0,False,36,36,48,60.0,0.05,1.5,1.5,"mkt_rf, smb, hml, rmw",10.888333,13.34%,11.58%,13.19%,0.88,0.77,0.86,0.48,0.03,-24.02%,56.67%,120,10,2026-06-04 20:55:38
38,completed,2015-01-01,2025-12-31,80,0.1,0,False,48,48,48,60.0,0.05,2.0,1.5,"mkt_rf, smb, hml, rmw",10.880833,13.18%,11.58%,13.19%,0.86,0.77,0.86,0.41,0.00,-22.73%,55.83%,120,10,2026-06-04 20:55:38
39,completed,2015-01-01,2025-12-31,80,0.1,0,False,48,48,48,60.0,0.05,1.5,2.0,"mkt_rf, smb, hml, cma",10.875833,13.23%,11.58%,13.19%,0.87,0.77,0.86,0.35,0.01,-23.01%,50.83%,120,10,2026-06-04 20:55:38
40,completed,2015-01-01,2025-12-31,80,0.3,0,True,36,36,48,60.0,0.05,1.5,1.5,"mkt_rf, smb, hml, rmw",10.863333,13.38%,11.58%,13.19%,0.87,0.77,0.86,0.72,0.08,-24.85%,60.00%,120,10,2026-06-04 20:55:38
41,completed,2015-01-01,2025-12-31,80,0.2,0,False,36,36,48,60.0,0.05,1.5,1.5,"mkt_rf, smb, hml, cma",10.848333,13.25%,11.58%,13.19%,0.87,0.77,0.86,0.52,0.02,-23.60%,55.00%,120,10,2026-06-04 20:55:38
42,completed,2020-01-01,2025-12-31,70,0.1,0,False,48,48,48,60.0,0.05,1.5,2.0,"mkt_rf, smb, hml, cma",10.816667,12.66%,9.56%,10.95%,0.81,0.67,0.76,0.62,0.39,-23.01%,50.00%,60,5,2026-06-04 20:55:38
43,completed,2020-01-01,2025-12-31,60,0.1,0,False,48,48,48,60.0,0.05,1.5,2.0,"mkt_rf, smb, hml, cma",10.816667,12.66%,9.56%,10.95%,0.81,0.67,0.76,0.62,0.39,-23.01%,50.00%,60,5,2026-06-04 20:55:38
44,completed,2015-01-01,2025-12-31,80,0.3,0,False,36,36,48,60.0,0.05,1.5,1.5,"mkt_rf, smb, hml",10.798333,13.33%,11.58%,13.19%,0.89,0.77,0.86,0.54,0.02,-24.46%,59.17%,120,10,2026-06-04 20:55:38
45,completed,2015-01-01,2025-12-31,80,0.3,0,False,36,36,48,60.0,0.05,2.0,1.5,"mkt_rf, smb, hml",10.728333,13.32%,11.58%,13.19%,0.87,0.77,0.86,0.59,0.04,-24.71%,57.50%,120,10,2026-06-04 20:55:38
46,completed,2015-01-01,2025-12-31,80,0.2,0,False,36,36,48,60.0,0.05,1.5,1.5,"mkt_rf, smb, hml, rmw",10.710833,13.22%,11.58%,13.19%,0.86,0.77,0.86,0.52,0.01,-23.91%,61.67%,120,10,2026-06-04 20:55:38
47,completed,2015-01-01,2025-12-31,80,0.2,0,True,36,36,48,120.0,0.05,1.5,1.5,"mkt_rf, smb, hml, mom",10.708333,13.32%,11.58%,13.19%,0.90,0.77,0.86,0.57,0.02,-24.84%,60.00%,120,10,2026-06-04 20:55:38
48,completed,2015-01-01,2025-12-31,80,0.1,0,False,48,48,48,120.0,0.05,2.0,1.5,"mkt_rf, smb, hml, mom",10.700833,13.13%,11.58%,13.19%,0.89,0.77,0.86,0.34,-0.04,-23.05%,56.67%,120,10,2026-06-04 20:55:38
49,completed,2015-01-01,2025-12-31,70,0.3,0,True,36,36,48,60.0,0.05,1.5,1.5,"mkt_rf, smb, hml, cma",10.680833,13.19%,11.56%,13.10%,0.87,0.77,0.86,0.57,0.03,-24.01%,58.33%,120,10,2026-06-04 20:55:38
50,completed,2015-01-01,2025-12-31,60,0.3,0,True,36,36,48,60.0,0.05,1.5,1.5,"mkt_rf, smb, hml, cma",10.680833,13.19%,11.56%,13.10%,0.87,0.77,0.86,0.57,0.03,-24.01%,58.33%,120,10,2026-06-04 20:55:38
51,completed,2010-01-01,2025-12-31,60,0.1,0,False,36,36,48,60.0,0.05,1.5,1.5,"mkt_rf, smb, hml, cma",10.6775,12.38%,11.06%,12.52%,0.88,0.78,0.88,0.38,-0.04,-22.17%,55.56%,180,15,2026-06-04 20:55:38
52,completed,2010-01-01,2025-12-31,70,0.1,0,False,36,36,48,60.0,0.05,1.5,1.5,"mkt_rf, smb, hml, cma",10.6775,12.38%,11.06%,12.52%,0.88,0.78,0.88,0.38,-0.04,-22.17%,55.56%,180,15,2026-06-04 20:55:38
53,completed,2015-01-01,2025-12-31,80,0.2,0,False,48,48,48,60.0,0.05,2.0,1.5,"mkt_rf, smb, hml, cma",10.668333,13.03%,11.58%,13.19%,0.87,0.77,0.86,0.38,-0.05,-22.50%,55.83%,120,10,2026-06-04 20:55:38
54,completed,2015-01-01,2025-12-31,80,0.3,0,False,48,48,48,60.0,0.05,2.0,2.0,"mkt_rf, smb, hml, cma, mom",10.663333,13.19%,11.58%,13.19%,0.87,0.77,0.86,0.42,-0.01,-23.72%,57.50%,120,10,2026-06-04 20:55:38
55,completed,2015-01-01,2025-12-31,80,0.1,0,True,36,36,48,120.0,0.05,1.5,2.0,"mkt_rf, smb, hml, rmw, cma, mom",10.658333,13.40%,11.58%,13.19%,0.86,0.77,0.86,0.65,0.09,-25.64%,55.00%,120,10,2026-06-04 20:55:38
56,completed,2015-01-01,2025-12-31,60,0.3,0,False,36,36,48,60.0,0.05,2.0,1.5,"mkt_rf, smb, hml",10.648333,13.26%,11.56%,13.10%,0.87,0.77,0.86,0.61,0.06,-24.71%,56.67%,120,10,2026-06-04 20:55:38
57,completed,2015-01-01,2025-12-31,70,0.3,0,False,36,36,48,60.0,0.05,2.0,1.5,"mkt_rf, smb, hml",10.648333,13.26%,11.56%,13.10%,0.87,0.77,0.86,0.61,0.06,-24.71%,56.67%,120,10,2026-06-04 20:55:38
58,completed,2015-01-01,2025-12-31,80,0.3,0,False,36,36,48,60.0,0.05,1.5,2.0,"mkt_rf, smb, hml, cma",10.638333,13.52%,11.58%,13.19%,0.86,0.77,0.86,0.66,0.12,-26.58%,59.17%,120,10,2026-06-04 20:55:38
59,completed,2015-01-01,2025-12-31,70,0.2,0,False,36,36,48,120.0,0.05,1.5,1.5,"mkt_rf, smb, hml, mom",10.635833,13.22%,11.56%,13.10%,0.89,0.77,0.86,0.52,0.02,-24.36%,60.00%,120,10,2026-06-04 20:55:38
60,completed,2015-01-01,2025-12-31,60,0.2,0,False,36,36,48,120.0,0.05,1.5,1.5,"mkt_rf, smb, hml, mom",10.635833,13.22%,11.56%,13.10%,0.89,0.77,0.86,0.52,0.02,-24.36%,60.00%,120,10,2026-06-04 20:55:38
61,completed,2015-01-01,2025-12-31,80,0.2,0,False,36,36,48,120.0,0.05,1.5,2.0,"mkt_rf, smb, hml, rmw, cma, mom",10.628333,13.23%,11.58%,13.19%,0.85,0.77,0.86,0.55,0.03,-24.34%,53.33%,120,10,2026-06-04 20:55:38
62,completed,2015-01-01,2025-12-31,80,0.3,0,True,36,36,48,120.0,0.05,1.5,1.5,"mkt_rf, smb, hml",10.598333,13.30%,11.58%,13.19%,0.89,0.77,0.86,0.60,0.02,-25.17%,55.00%,120,10,2026-06-04 20:55:38
63,completed,2015-01-01,2025-12-31,80,0.3,0,True,36,36,48,120.0,0.05,1.5,1.5,"mkt_rf, smb, hml, mom",10.595833,13.26%,11.58%,13.19%,0.89,0.77,0.86,0.61,-0.00,-24.92%,61.67%,120,10,2026-06-04 20:55:38
64,completed,2015-01-01,2025-12-31,80,0.1,0,False,48,48,48,60.0,0.05,1.0,2.0,"mkt_rf, smb, hml, rmw, cma",10.578333,13.05%,11.58%,13.19%,0.84,0.77,0.86,0.35,-0.02,-22.85%,55.83%,120,10,2026-06-04 20:55:38
65,completed,2020-01-01,2025-12-31,80,0.1,0,False,48,48,48,60.0,0.05,1.5,2.0,"mkt_rf, smb, hml, cma",10.544167,12.53%,9.59%,11.07%,0.80,0.67,0.76,0.59,0.34,-23.01%,50.00%,60,5,2026-06-04 20:55:38
66,completed,2020-01-01,2025-12-31,60,0.1,0,False,48,48,48,60.0,0.05,1.0,2.0,"mkt_rf, smb, hml, cma",10.539167,12.51%,9.56%,10.95%,0.80,0.67,0.76,0.61,0.37,-23.02%,50.00%,60,5,2026-06-04 20:55:38
67,completed,2020-01-01,2025-12-31,70,0.1,0,False,48,48,48,60.0,0.05,1.0,2.0,"mkt_rf, smb, hml, cma",10.539167,12.51%,9.56%,10.95%,0.80,0.67,0.76,0.61,0.37,-23.02%,50.00%,60,5,2026-06-04 20:55:38
68,completed,2015-01-01,2025-12-31,80,0.2,0,False,36,36,48,120.0,0.05,1.5,1.5,"mkt_rf, smb, hml",10.538333,13.26%,11.58%,13.19%,0.90,0.77,0.86,0.45,-0.01,-24.86%,53.33%,120,10,2026-06-04 20:55:38
69,completed,2010-01-01,2025-12-31,70,0.2,0,False,36,36,48,60.0,0.05,1.5,1.5,"mkt_rf, smb, hml, cma",10.5275,12.47%,11.06%,12.52%,0.88,0.78,0.88,0.48,-0.01,-23.60%,52.22%,180,15,2026-06-04 20:55:38
70,completed,2010-01-01,2025-12-31,60,0.2,0,False,36,36,48,60.0,0.05,1.5,1.5,"mkt_rf, smb, hml, cma",10.5275,12.47%,11.06%,12.52%,0.88,0.78,0.88,0.48,-0.01,-23.60%,52.22%,180,15,2026-06-04 20:55:38
71,completed,2015-01-01,2025-12-31,80,0.1,0,False,36,36,48,60.0,0.05,1.5,2.0,"mkt_rf, smb, hml, mom",10.510833,13.46%,11.58%,13.19%,0.91,0.77,0.86,0.39,0.04,-26.28%,55.00%,120,10,2026-06-04 20:55:38
72,completed,2010-01-01,2025-12-31,80,0.1,0,False,48,48,48,120.0,0.05,1.0,2.0,"mkt_rf, smb, hml, rmw, cma",10.51,12.44%,11.11%,12.58%,0.87,0.78,0.88,0.35,-0.04,-23.02%,58.89%,180,15,2026-06-04 20:55:38
73,completed,2015-01-01,2025-12-31,80,0.3,0,False,48,48,48,,0.05,2.0,2.0,"mkt_rf, smb, hml, mom",10.493333,13.35%,11.58%,13.19%,0.88,0.77,0.86,0.45,0.03,-25.61%,55.83%,120,10,2026-06-04 20:55:38
74,completed,2015-01-01,2025-12-31,80,0.2,0,False,48,48,48,60.0,0.05,2.0,1.5,"mkt_rf, smb, hml, rmw",10.485833,12.97%,11.58%,13.19%,0.84,0.77,0.86,0.44,-0.05,-22.84%,59.17%,120,10,2026-06-04 20:55:38
75,completed,2015-01-01,2025-12-31,80,0.1,0,False,36,36,48,36.0,0.05,2.0,1.5,"mkt_rf, smb, hml, rmw, cma, mom",10.475833,13.49%,11.58%,13.19%,0.85,0.77,0.86,0.67,0.13,-27.01%,57.50%,120,10,2026-06-04 20:55:38
76,completed,2010-01-01,2025-12-31,80,0.1,0,False,36,36,48,60.0,0.05,1.0,1.5,"mkt_rf, smb, hml, cma",10.4725,12.28%,11.11%,12.58%,0.87,0.78,0.88,0.32,-0.10,-21.99%,53.89%,180,15,2026-06-04 20:55:38
77,completed,2015-01-01,2025-12-31,80,0.3,0,False,36,36,48,60.0,0.05,2.0,1.5,"mkt_rf, smb, hml, cma",10.470833,13.16%,11.58%,13.19%,0.84,0.77,0.86,0.63,0.02,-24.61%,58.33%,120,10,2026-06-04 20:55:38
78,completed,2020-01-01,2025-12-31,80,0.2,0,False,36,36,48,120.0,0.05,1.5,1.5,"mkt_rf, smb, hml, mom",10.466667,12.55%,9.59%,11.07%,0.84,0.67,0.76,0.98,0.57,-24.36%,66.67%,60,5,2026-06-04 20:55:38
79,completed,2010-01-01,2025-12-31,80,0.3,0,True,36,36,48,60.0,0.05,1.5,1.5,"mkt_rf, smb, hml, cma",10.4525,12.49%,11.11%,12.58%,0.88,0.78,0.88,0.54,-0.04,-24.01%,57.78%,180,15,2026-06-04 20:55:38
80,completed,2015-01-01,2025-12-31,60,0.3,0,False,36,36,48,60.0,0.05,1.5,1.5,"mkt_rf, smb, hml",10.448333,13.14%,11.56%,13.10%,0.88,0.77,0.86,0.49,-0.01,-24.46%,59.17%,120,10,2026-06-04 20:55:38
81,completed,2015-01-01,2025-12-31,70,0.3,0,False,36,36,48,60.0,0.05,1.5,1.5,"mkt_rf, smb, hml",10.448333,13.14%,11.56%,13.10%,0.88,0.77,0.86,0.49,-0.01,-24.46%,59.17%,120,10,2026-06-04 20:55:38
82,completed,2015-01-01,2025-12-31,70,0.3,0,True,36,36,48,60.0,0.05,1.5,1.5,"mkt_rf, smb, hml, rmw",10.440833,13.15%,11.56%,13.10%,0.86,0.77,0.86,0.65,0.03,-24.82%,57.50%,120,10,2026-06-04 20:55:38
83,completed,2015-01-01,2025-12-31,60,0.3,0,True,36,36,48,60.0,0.05,1.5,1.5,"mkt_rf, smb, hml, rmw",10.440833,13.15%,11.56%,13.10%,0.86,0.77,0.86,0.65,0.03,-24.82%,57.50%,120,10,2026-06-04 20:55:38
84,completed,2015-01-01,2025-12-31,80,0.1,0,False,48,48,48,60.0,0.05,1.5,2.0,"mkt_rf, smb, hml, rmw",10.435833,12.96%,11.58%,13.19%,0.87,0.77,0.86,0.28,-0.06,-22.74%,56.67%,120,10,2026-06-04 20:55:38
85,completed,2010-01-01,2025-12-31,80,0.1,0,False,48,48,48,,0.05,1.0,2.0,"mkt_rf, smb, hml, rmw, cma",10.43,12.35%,11.11%,12.58%,0.86,0.78,0.88,0.35,-0.06,-22.68%,55.56%,180,15,2026-06-04 20:55:38
86,completed,2015-01-01,2025-12-31,80,0.2,0,False,36,36,48,,0.05,1.5,1.5,"mkt_rf, smb, hml",10.425833,13.32%,11.58%,13.19%,0.88,0.77,0.86,0.51,0.03,-25.79%,54.17%,120,10,2026-06-04 20:55:38
87,completed,2010-01-01,2025-12-31,80,0.1,0,False,48,48,48,60.0,0.05,1.0,2.0,"mkt_rf, smb, hml, rmw, cma",10.415,12.37%,11.11%,12.58%,0.87,0.78,0.88,0.32,-0.06,-22.85%,54.44%,180,15,2026-06-04 20:55:38
88,completed,2015-01-01,2025-12-31,70,0.1,0,False,36,36,48,120.0,0.05,1.5,1.0,"mkt_rf, smb, hml, cma",10.413333,12.83%,11.56%,13.10%,0.87,0.77,0.86,0.26,-0.08,-21.94%,55.00%,120,10,2026-06-04 20:55:38
89,completed,2015-01-01,2025-12-31,60,0.1,0,False,36,36,48,120.0,0.05,1.5,1.0,"mkt_rf, smb, hml, cma",10.413333,12.83%,11.56%,13.10%,0.87,0.77,0.86,0.26,-0.08,-21.94%,55.00%,120,10,2026-06-04 20:55:38
90,completed,2020-01-01,2025-12-31,80,0.1,0,False,48,48,48,60.0,0.05,1.0,2.0,"mkt_rf, smb, hml, rmw, cma",10.404167,12.42%,9.59%,11.07%,0.81,0.67,0.76,0.60,0.32,-22.85%,61.67%,60,5,2026-06-04 20:55:38
91,completed,2015-01-01,2025-12-31,80,0.1,0,False,36,36,48,36.0,0.05,1.0,2.0,"mkt_rf, smb, hml, rmw, cma, mom",10.398333,13.36%,11.58%,13.19%,0.85,0.77,0.86,0.57,0.07,-26.21%,58.33%,120,10,2026-06-04 20:55:38
92,completed,2010-01-01,2025-12-31,80,0.1,0,False,48,48,48,60.0,0.05,1.5,2.0,"mkt_rf, smb, hml, cma",10.3975,12.39%,11.11%,12.58%,0.88,0.78,0.88,0.28,-0.06,-23.01%,51.67%,180,15,2026-06-04 20:55:38
93,completed,2015-01-01,2025-12-31,80,0.2,0,True,36,36,48,60.0,0.05,1.5,1.5,"mkt_rf, smb, hml, cma",10.390833,13.15%,11.58%,13.19%,0.87,0.77,0.86,0.52,-0.01,-24.73%,55.00%,120,10,2026-06-04 20:55:38
94,completed,2015-01-01,2025-12-31,60,0.3,0,False,36,36,48,120.0,0.05,2.0,1.5,"mkt_rf, smb, hml",10.388333,13.17%,11.56%,13.10%,0.86,0.77,0.86,0.72,0.04,-25.31%,57.50%,120,10,2026-06-04 20:55:38
95,completed,2015-01-01,2025-12-31,70,0.3,0,False,36,36,48,120.0,0.05,2.0,1.5,"mkt_rf, smb, hml",10.388333,13.17%,11.56%,13.10%,0.86,0.77,0.86,0.72,0.04,-25.31%,57.50%,120,10,2026-06-04 20:55:38
96,completed,2015-01-01,2025-12-31,80,0.1,0,False,36,36,48,60.0,0.05,1.0,1.5,"mkt_rf, smb, hml, cma",10.383333,12.82%,11.58%,13.19%,0.85,0.77,0.86,0.32,-0.11,-21.99%,52.50%,120,10,2026-06-04 20:55:38
97,completed,2015-01-01,2025-12-31,80,0.2,0,False,48,48,48,60.0,0.05,2.0,2.0,"mkt_rf, smb, hml, mom",10.380833,13.05%,11.58%,13.19%,0.88,0.77,0.86,0.31,-0.05,-23.68%,60.00%,120,10,2026-06-04 20:55:38
98,completed,2015-01-01,2025-12-31,80,0.3,0,False,36,36,48,120.0,0.05,2.0,1.5,"mkt_rf, smb, hml",10.375833,13.18%,11.58%,13.19%,0.86,0.77,0.86,0.69,0.00,-25.31%,58.33%,120,10,2026-06-04 20:55:38
99,completed,2015-01-01,2025-12-31,80,0.1,0,False,36,36,48,,0.05,1.5,2.0,"mkt_rf, smb, hml, rmw, cma, mom",10.373333,13.19%,11.58%,13.19%,0.84,0.77,0.86,0.52,0.03,-24.99%,58.33%,120,10,2026-06-04 20:55:38
