rank,status,BACKTEST_START_DATE,BACKTEST_END_DATE,BACKTEST_MIN_STOCK_HOLDING,BACKTEST_LONG_QUANTILE,BACKTEST_SHORT_QUANTILE,BACKTEST_INCLUDE_ALPHA_BUCKET,ROLLING_WINDOW,INSUFFICIENT_DATA_THRESHOLD,FULL_SAMPLE_FALLBACK_MAX,ALPHA_TRAILING_WINDOW,P_VALUE_THRESHOLD,SMB_STABILITY_THRESHOLD,HML_STABILITY_THRESHOLD,FACTOR_COLUMNS,score,Strategy Ann. Return,Benchmark (EW) Ann. Return,Benchmark (VW) Ann. Return,Strategy Sharpe,Benchmark (EW) Sharpe,Benchmark (VW) Sharpe,Information Ratio (vs EW),Information Ratio (vs VW),Strategy Max Drawdown,Monthly Hit Rate (vs EW),Return Months,Rebalance Years,search_batch_time
3254,completed,2015-01-01,2025-12-31,70,0.2,0,False,36,36,48,36.0,0.05,1.5,1.5,"mkt_rf, smb, hml",8.080833,12.16%,11.56%,13.10%,0.83,0.77,0.86,0.14,-0.29,-26.22%,50.83%,120,10,2026-06-04 20:55:38
3255,completed,2015-01-01,2025-12-31,70,0.1,0,True,36,36,48,36.0,0.05,1.5,1.5,"mkt_rf, smb, hml, cma, mom",8.080833,12.29%,11.56%,13.10%,0.81,0.77,0.86,0.24,-0.27,-27.27%,49.17%,120,10,2026-06-04 20:55:38
3256,completed,2015-01-01,2025-12-31,60,0.1,0,True,36,36,48,36.0,0.05,1.5,1.5,"mkt_rf, smb, hml, cma, mom",8.080833,12.29%,11.56%,13.10%,0.81,0.77,0.86,0.24,-0.27,-27.27%,49.17%,120,10,2026-06-04 20:55:38
3257,completed,2015-01-01,2025-12-31,80,0.1,0,True,36,36,48,36.0,0.05,2.0,1.0,"mkt_rf, smb, hml, mom",8.080833,12.10%,11.58%,13.19%,0.81,0.77,0.86,0.14,-0.35,-25.68%,54.17%,120,10,2026-06-04 20:55:38
3258,completed,2015-01-01,2025-12-31,60,0.3,0,False,48,48,48,,0.05,1.5,2.0,"mkt_rf, smb, hml, cma",8.080833,11.99%,11.56%,13.10%,0.79,0.77,0.86,0.12,-0.30,-24.87%,53.33%,120,10,2026-06-04 20:55:38
3259,completed,2015-01-01,2025-12-31,70,0.3,0,False,48,48,48,,0.05,1.5,2.0,"mkt_rf, smb, hml, cma",8.080833,11.99%,11.56%,13.10%,0.79,0.77,0.86,0.12,-0.30,-24.87%,53.33%,120,10,2026-06-04 20:55:38
3260,completed,2015-01-01,2025-12-31,60,0.2,0,False,36,36,48,36.0,0.05,1.5,1.5,"mkt_rf, smb, hml",8.080833,12.16%,11.56%,13.10%,0.83,0.77,0.86,0.14,-0.29,-26.22%,50.83%,120,10,2026-06-04 20:55:38
3261,completed,2010-01-01,2025-12-31,60,0.1,0,False,48,48,48,120.0,0.05,1.5,1.5,"mkt_rf, smb, hml, cma",8.08,11.29%,11.06%,12.52%,0.81,0.78,0.88,0.04,-0.34,-24.04%,56.67%,180,15,2026-06-04 20:55:38
3262,completed,2010-01-01,2025-12-31,70,0.3,0,True,36,36,48,120.0,0.05,1.0,1.5,"mkt_rf, smb, hml, rmw",8.08,11.49%,11.06%,12.52%,0.82,0.78,0.88,0.17,-0.45,-25.73%,52.78%,180,15,2026-06-04 20:55:38
3263,completed,2010-01-01,2025-12-31,70,0.1,0,False,48,48,48,120.0,0.05,1.5,1.5,"mkt_rf, smb, hml, cma",8.08,11.29%,11.06%,12.52%,0.81,0.78,0.88,0.04,-0.34,-24.04%,56.67%,180,15,2026-06-04 20:55:38
3264,completed,2010-01-01,2025-12-31,60,0.3,0,True,36,36,48,120.0,0.05,1.0,1.5,"mkt_rf, smb, hml, rmw",8.08,11.49%,11.06%,12.52%,0.82,0.78,0.88,0.17,-0.45,-25.73%,52.78%,180,15,2026-06-04 20:55:38
3265,completed,2015-01-01,2025-12-31,80,0.2,0,False,48,48,48,36.0,0.05,2.0,1.5,"mkt_rf, smb, hml, rmw",8.078333,12.27%,11.58%,13.19%,0.80,0.77,0.86,0.22,-0.25,-27.01%,50.83%,120,10,2026-06-04 20:55:38
3266,completed,2010-01-01,2025-12-31,60,0.2,0,True,48,48,48,36.0,0.05,2.0,2.0,"mkt_rf, smb, hml, rmw",8.0775,11.32%,11.06%,12.52%,0.80,0.78,0.88,0.08,-0.41,-24.31%,50.00%,180,15,2026-06-04 20:55:38
3267,completed,2010-01-01,2025-12-31,70,0.2,0,True,48,48,48,36.0,0.05,2.0,2.0,"mkt_rf, smb, hml, rmw",8.0775,11.32%,11.06%,12.52%,0.80,0.78,0.88,0.08,-0.41,-24.31%,50.00%,180,15,2026-06-04 20:55:38
3268,completed,2010-01-01,2025-12-31,80,0.2,0,False,36,36,48,120.0,0.05,1.0,1.0,"mkt_rf, smb, hml, mom",8.0775,11.50%,11.11%,12.58%,0.85,0.78,0.88,0.10,-0.43,-25.61%,52.78%,180,15,2026-06-04 20:55:38
