signal_date,trade_date,next_signal_date,exit_date,rebalance_date,holding_end_date,long_return,short_return,strategy_return,benchmark_return,vw_benchmark_return,long_count,short_count,style_count,strategy_cumulative,benchmark_cumulative,excess_return,vw_benchmark_cumulative,vw_excess_return
1990-12-31,1990-12-31,1991-12-31,1991-01-31,1990-12-31,1991-01-31,0.019144737883451064,0.0,0.019144737883451064,0.05357307039298492,0.056789313616730175,7,0,4,1.019144737883451,1.0535730703929849,-0.03442833250953386,1.0567893136167301,-0.03764457573327911
1990-12-31,1990-12-31,1991-12-31,1991-02-28,1990-12-31,1991-02-28,0.07560917433332552,0.0,0.07560917433332552,0.0760451706869638,0.07322971562272809,7,0,4,1.0962014300409724,1.133692214362208,-0.0004359963536382794,1.1341776945260214,0.002379458710597429
1990-12-31,1990-12-31,1991-12-31,1991-03-28,1990-12-31,1991-03-28,0.022808815459970353,0.0,0.022808815459970353,0.03273757415442013,0.02946390635282556,7,0,4,1.1212044861657324,1.1708065472981792,-0.009928758694449775,1.1675949999049995,-0.006655090892855205
1990-12-31,1990-12-31,1991-12-31,1991-04-30,1990-12-31,1991-04-30,-0.0035794749272556785,0.0,-0.0035794749272556785,-0.0022355579390698796,0.00024604296108912693,7,0,4,1.1171911628191757,1.1681891414262517,-0.001343916988185799,1.167882278436129,-0.0038255178883448053
1990-12-31,1990-12-31,1991-12-31,1991-05-31,1990-12-31,1991-05-31,0.03898955294523216,0.0,0.03898955294523216,0.04360125967597776,0.041293824525060176,7,0,4,1.1607499468118596,1.2191236595322354,-0.004611706730745603,1.216108604307798,-0.0023042715798280156
1990-12-31,1990-12-31,1991-12-31,1991-06-28,1990-12-31,1991-06-28,-0.03441424506477772,0.0,-0.03441424506477772,-0.043997048319858637,-0.04796485665559073,7,0,4,1.1208036136833486,1.1654858169759128,0.009582803255080916,1.157778129424544,0.013550611590813007
1990-12-31,1990-12-31,1991-12-31,1991-07-31,1990-12-31,1991-07-31,0.04622938333316399,0.0,0.04622938333316399,0.05056390156109009,0.05102934577969784,7,0,4,1.1726176735815115,1.2244173270963297,-0.004334518227926104,1.2168587899271206,-0.0047999624465338495
1990-12-31,1990-12-31,1991-12-31,1991-08-30,1990-12-31,1991-08-30,0.014962564287780204,0.0,0.014962564287780204,0.024086344195143515,0.02999509656265108,7,0,4,1.1901630409074622,1.2539090642752695,-0.009123779907363311,1.2533585868340953,-0.015032532274870877
1990-12-31,1990-12-31,1991-12-31,1991-09-30,1990-12-31,1991-09-30,-0.006561865747274158,0.0,-0.006561865747274158,-0.0017217740658297248,-0.005378361004807099,7,0,4,1.1823533508156598,1.2517501161674915,-0.004840091681444433,1.2466175718856265,-0.0011835047424670593
1990-12-31,1990-12-31,1991-12-31,1991-10-31,1990-12-31,1991-10-31,0.019477476373771264,0.0,0.019477476373771264,0.025195833659017317,0.020430087834196496,7,0,4,1.2053826102716212,1.2832890038771032,-0.005718357285246053,1.2720860783749026,-0.0009526114604252317
1990-12-31,1990-12-31,1991-12-31,1991-11-29,1990-12-31,1991-11-29,-0.036449357768733426,0.0,-0.036449357768733426,-0.036736873414438515,-0.03770405870762955,7,0,4,1.161447188261621,1.236144978187529,0.0002875156457050887,1.224123270194697,0.001254700938896125
1990-12-31,1990-12-31,1991-12-31,1991-12-31,1990-12-31,1991-12-31,0.08309742252230909,0.0,0.08309742252230909,0.09893412562510825,0.10754474457887384,7,0,4,1.2579604560019448,1.3584419007503807,-0.015836703102799166,1.3557712946208413,-0.024447322056564746
1991-12-31,1991-12-31,1992-12-31,1992-01-31,1991-12-31,1992-01-31,0.01035215166263514,0.0,0.01035215166263514,0.0135128287105939,0.0022830217866396984,6,0,4,1.2709830534280746,1.3767982934685141,-0.003160677047958761,1.3588665500241615,0.00806912987599544
1991-12-31,1991-12-31,1992-12-31,1992-02-28,1991-12-31,1992-02-28,0.014782411410930084,0.0,0.014782411410930084,0.014281810305184758,0.01466723215924785,6,0,4,1.2897712478201686,1.3964614655243335,0.0005006011057453255,1.378797361186802,0.00011517925168223406
1991-12-31,1991-12-31,1992-12-31,1992-03-31,1991-12-31,1992-03-31,-0.018139352107388942,0.0,-0.018139352107388942,-0.03055676796438724,-0.02943625277892664,6,0,4,1.2663756330179723,1.3537901165510984,0.012417415856998296,1.3382107335319904,0.011296900671537699
1991-12-31,1991-12-31,1992-12-31,1992-04-30,1991-12-31,1992-04-30,0.005978434117940334,0.0,0.005978434117940334,-0.010102211575570093,-0.0015116293668564795,6,0,4,1.2739465763085351,1.3401138423647834,0.016080645693510427,1.336187854888141,0.007490063484796814
1991-12-31,1991-12-31,1992-12-31,1992-05-29,1991-12-31,1992-05-29,0.013847721302815507,0.0,0.013847721302815507,0.00966492788875971,0.01163917846113263,6,0,4,1.2915878334519315,1.3530659460139678,0.004182793414055797,1.3517399837887822,0.002208542841682877
1991-12-31,1991-12-31,1992-12-31,1992-06-30,1991-12-31,1992-06-30,-0.018435429054095967,0.0,-0.018435429054095967,-0.02660829170894729,-0.025462195641030576,6,0,4,1.267776857581195,1.3170631726209854,0.008172862654851322,1.3173217158657489,0.007026766586934609
1991-12-31,1991-12-31,1992-12-31,1992-07-31,1991-12-31,1992-07-31,0.03444694983682569,0.0,0.03444694983682569,0.035558690514708655,0.03451556115262903,6,0,4,1.3114479033985829,1.3638962143645355,-0.001111740677882965,1.3627898141073995,-6.861131580333801e-05
1991-12-31,1991-12-31,1992-12-31,1992-08-31,1991-12-31,1992-08-31,-0.01578688960040446,0.0,-0.01578688960040446,-0.02410486822255558,-0.023625149192783964,6,0,4,1.2907442201309476,1.331019675848036,0.008317978622151119,1.3305937014307059,0.007838259592379503
1991-12-31,1991-12-31,1992-12-31,1992-09-30,1991-12-31,1992-09-30,0.008507383749252632,0.0,0.008507383749252632,0.013096216158520168,0.013553875943845927,6,0,4,1.3017250765337314,1.3484509972341854,-0.004588832409267536,1.3486284033915603,-0.005046492194593294
1991-12-31,1991-12-31,1992-12-31,1992-10-30,1991-12-31,1992-10-30,0.007922606796273587,0.0,0.007922606796273587,0.015552465730912532,0.01578069667052641,6,0,4,1.3120381324719574,1.369422735158485,-0.007629858934638944,1.369910699146739,-0.007858089874252822
1991-12-31,1991-12-31,1992-12-31,1992-11-30,1991-12-31,1992-11-30,0.035074853113265664,0.0,0.035074853113265664,0.04594966214734897,0.04856928309770281,6,0,4,1.3580576772474147,1.4323472471759158,-0.010874809034083305,1.4364462797121686,-0.013494429984437145
1991-12-31,1991-12-31,1992-12-31,1992-12-31,1991-12-31,1992-12-31,0.05683795737644218,0.0,0.05683795737644218,0.020947840548183005,0.021076390675991364,6,0,4,1.4352469016215532,1.462351828919386,0.03589011682825917,1.4667213826884569,0.03576156670045082
1992-12-31,1992-12-31,1993-12-31,1993-01-29,1992-12-31,1993-01-29,0.011339217411820184,0.0,0.011339217411820184,0.013943571619499164,0.0172538717810093,6,0,4,1.4515214782786812,1.482742236378829,-0.0026043542076789796,1.4920280053638282,-0.005914654369189115
1992-12-31,1992-12-31,1993-12-31,1993-02-26,1992-12-31,1993-02-26,-0.005837929826095827,0.0,-0.005837929826095827,-0.006322217881195227,-0.009311396997381363,6,0,4,1.4430475977474193,1.4733680168987913,0.0004842880550994001,1.4781351402746745,0.003473467171285536
1992-12-31,1992-12-31,1993-12-31,1993-03-31,1992-12-31,1993-03-31,0.027328976304660677,0.0,0.027328976304660677,0.03270705536089069,0.03006619606211989,6,0,4,1.482484611352756,1.521557546194466,-0.005378079056230015,1.5225770412084818,-0.0027372197574592125
1992-12-31,1992-12-31,1993-12-31,1993-04-30,1992-12-31,1993-04-30,-0.02792210576486338,0.0,-0.02792210576486338,-0.02107982134496816,-0.02405478108740489,6,0,4,1.441090519239782,1.4894833849545985,-0.00684228441989522,1.4859517837935032,-0.0038673246774584905
1992-12-31,1992-12-31,1993-12-31,1993-05-28,1992-12-31,1993-05-28,0.030495650240720137,0.0,0.030495650240720137,0.036763834946465165,0.03553817946287774,6,0,4,1.485037511679736,1.5442425062745717,-0.006268184705745028,1.53875980495914,-0.005042529222157602
1992-12-31,1992-12-31,1993-12-31,1993-06-30,1992-12-31,1993-06-30,0.01313317994221955,0.0,0.01313317994221955,0.0061378666193047425,0.009456976783729662,6,0,4,1.5045407765415721,1.553720860805946,0.006995313322914808,1.5533118207103749,0.003676203158489889
1992-12-31,1992-12-31,1993-12-31,1993-07-30,1992-12-31,1993-07-30,0.0056012263285685005,0.0,0.0056012263285685005,0.004255790326056678,0.0038065547819332423,6,0,4,1.5129680499515417,1.5603331710147565,0.0013454360025118225,1.5592245872493333,0.0017946715466352582
1992-12-31,1992-12-31,1993-12-31,1993-08-31,1992-12-31,1993-08-31,0.03300544693178879,0.0,0.03300544693178879,0.037405858760053756,0.04100074320395619,6,0,4,1.5629042366337094,1.6186987732283615,-0.0044004118282649635,1.6231539541484377,-0.007995296272167399
1992-12-31,1992-12-31,1993-12-31,1993-09-30,1992-12-31,1993-09-30,0.010891673482873076,0.0,0.010891673482873076,0.008849900398009534,0.009175260697343385,6,0,4,1.5799268792641226,1.633024096145813,0.0020417730848635417,1.6380468148296734,0.0017164127855296904
1992-12-31,1992-12-31,1993-12-31,1993-10-29,1992-12-31,1993-10-29,0.021744302099292165,0.0,0.021744302099292165,0.017768850353202453,0.013356052869533374,6,0,4,1.6142812866216336,1.6620410569334017,0.003975451746089712,1.6599246546913091,0.00838824922975879
1992-12-31,1992-12-31,1993-12-31,1993-11-30,1992-12-31,1993-11-30,-0.02616136464085583,0.0,-0.02616136464085583,-0.022200803813346562,-0.02264489676379879,6,0,4,1.5720494852494151,1.6251424094986961,-0.003960560827509268,1.62233583225014,-0.0035164678770570404
1992-12-31,1992-12-31,1993-12-31,1993-12-31,1992-12-31,1993-12-31,0.02834274759896685,0.0,0.02834274759896685,0.03112247609335177,0.026627967976647304,6,0,4,1.616605687022925,1.6757208652866113,-0.0027797284943849206,1.665535338838664,0.0017147796223195462
1993-12-31,1993-12-31,1994-12-30,1994-01-31,1993-12-31,1994-01-31,0.030526656704287596,0.0,0.030526656704287596,0.028553144725304812,0.03516386283144286,6,0,4,1.665955253856873,1.723567965672353,0.0019735119789827844,1.7241019950345073,-0.004637206127155267
