基金全称,基金简称,基金代码,基金类型,发行日期,成立日期/规模,净资产规模,份额规模,基金管理人,基金托管人,基金经理人,成立来分红,管理费率,托管费率,销售服务费率,最高认购费率,业绩比较基准,跟踪标的,最高申购费率,最高赎回费率,规模_亿元,成立日期
交银施罗德新生活力灵活配置混合型证券投资基金,交银新生活力灵活配置混合A,519772,混合型-灵活,2016年10月10日,2016年11月11日 / 5.453亿份,33.44亿元（截止至：2025年12月31日）,14.6797亿份（截止至：2025年12月31日）,交银施罗德基金,中信银行,杨浩,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,沪深300指数收益率*60%+中证综合债券指数收益率*40%,该基金无跟踪标的,,,33.44,2016-11-11
交银施罗德数据产业灵活配置混合型证券投资基金,交银数据产业灵活配置混合A,519773,混合型-灵活,2016年07月14日,2016年08月16日 / 22.001亿份,5.17亿元（截止至：2025年12月31日）,2.1578亿份（截止至：2025年12月31日）,交银施罗德基金,农业银行,高扬,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,沪深300指数收益率*60%+中证综合债券指数收益率*40%,该基金无跟踪标的,,,5.17,2016-08-16
交银施罗德经济新动力混合型证券投资基金,交银经济新动力混合A,519778,混合型-灵活,2016年09月08日,2016年10月20日 / 8.435亿份,17.97亿元（截止至：2025年12月31日）,5.3173亿份（截止至：2025年12月31日）,交银施罗德基金,建设银行,郭斐,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,沪深300指数收益率*60%+中证综合债券指数收益率*40%,该基金无跟踪标的,,,17.97,2016-10-20
交银施罗德沪港深价值精选灵活配置混合型证券投资基金,交银沪港深价值精选混合,519779,混合型-灵活,2016年09月12日,2016年11月07日 / 3.166亿份,2.32亿元（截止至：2025年12月31日）,1.1478亿份（截止至：2025年12月31日）,交银施罗德基金,农业银行,陈俊华,每份累计0.10元（2次）,1.20%（每年）,0.20%（每年）,'---（每年）,1.20%（前端）,沪深300指数收益率*40%+恒生指数收益率*40%+中证综合债券指数收益率*20%,该基金无跟踪标的,,,2.32,2016-11-07
华夏兴华混合型证券投资基金,华夏兴华混合A,519908,混合型-灵活,2013年04月18日,2013年04月12日 / 20.000亿份,6.88亿元（截止至：2025年12月31日）,2.1241亿份（截止至：2025年12月31日）,华夏基金,建设银行,阳琨,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,'---（每年）,1.20%（前端）,沪深300指数×70%+上证国债指数×30%,该基金无跟踪标的,,,6.88,2013-04-12
华安安顺灵活配置混合型证券投资基金,华安安顺灵活配置混合A,519909,混合型-灵活,2014年05月15日,2014年05月12日 / 10.815亿份,9.34亿元（截止至：2025年12月31日）,2.0659亿份（截止至：2025年12月31日）,华安基金,交通银行,高钥群,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端） 天天基金优惠费率：0.12%（前端）,中证800指数收益率*50%+中国债券总指数收益率*50%,该基金无跟踪标的,,,9.34,2014-05-12
富国消费主题混合型证券投资基金,富国消费主题混合A,519915,混合型-偏股,2014年12月01日,2014年12月12日 / --,27.31亿元（截止至：2025年12月31日）,12.5609亿份（截止至：2025年12月31日）,富国基金,交通银行,王园园,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,'---（前端）,沪深300指数收益率×80%+中债综合指数收益率×20%,该基金无跟踪标的,,,27.31,2014-12-12
华夏兴和混合型证券投资基金,华夏兴和混合A,519918,混合型-灵活,2014年06月03日,2014年05月30日 / 30.000亿份,10.41亿元（截止至：2025年12月31日）,2.8369亿份（截止至：2025年12月31日）,华夏基金,建设银行,李彦,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,沪深300指数收益率*70%+上证国债指数收益率*30%,该基金无跟踪标的,,,10.41,2014-05-30
长信电子信息行业量化灵活配置混合型证券投资基金,长信电子信息量化灵活配置混合A,519929,混合型-灵活,2016年06月27日,2016年07月27日 / 8.920亿份,1.42亿元（截止至：2025年12月31日）,0.8341亿份（截止至：2025年12月31日）,长信基金,交通银行,左金保、宋海岸,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端） 天天基金优惠费率：0.12%（前端）,中证TMT产业主题指数收益率*60%+中证综合债指数收益率*40%,该基金无跟踪标的,,,1.42,2016-07-27
长信创新驱动股票型证券投资基金,长信创新驱动股票,519935,股票型,2016年08月12日,2016年09月29日 / 2.206亿份,0.44亿元（截止至：2025年12月31日）,0.1843亿份（截止至：2025年12月31日）,长信基金,工商银行,张思韡,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,'---（每年）,1.20%（前端） 天天基金优惠费率：0.12%（前端）,沪深300指数收益率*80%+中证综合债券指数收益率*20%,该基金无跟踪标的,,,0.44,2016-09-29
长信利信灵活配置混合型证券投资基金,长信利信混合A,519949,混合型-灵活,2016年10月24日,2016年11月10日 / 3.011亿份,0.01亿元（截止至：2025年12月31日）,0.0071亿份（截止至：2025年12月31日）,长信基金,招商银行,陆晓锋,每份累计0.06元（1次）,0.60%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端） 天天基金优惠费率：0.12%（前端）,沪深300指数收益率*50%+中证综合债指数收益率*50%,该基金无跟踪标的,,,0.01,2016-11-10
长信利泰灵活配置混合型证券投资基金,长信利泰灵活配置混合A,519951,混合型-灵活,2016年01月08日,2016年03月23日 / 2.784亿份,0.61亿元（截止至：2025年12月31日）,0.4666亿份（截止至：2025年12月31日）,长信基金,民生银行,王昭锋,每份累计0.42元（2次）,0.60%（每年）,0.10%（每年）,0.00%（每年）,0.60%（前端）,沪深300指数收益率*50%+中证综合债指数收益率*50%,该基金无跟踪标的,,,0.61,2016-03-23
长信睿进灵活配置混合型证券投资基金,长信睿进混合C,519956,混合型-灵活,2015年06月17日,2015年07月06日 / 3.086亿份,1.99亿元（截止至：2025年12月31日）,2.0308亿份（截止至：2025年12月31日）,长信基金,广发证券,张思韡,每份累计0.00元（0次）,1.20%（每年）,0.15%（每年）,0.08%（每年）,0.00%（前端）,沪深300指数收益率×60%+中证全债指数收益率×40%,该基金无跟踪标的,0.00%（前端）,1.50%（前端）,1.99,2015-07-06
