基金全称,基金简称,基金代码,基金类型,发行日期,成立日期/规模,净资产规模,份额规模,基金管理人,基金托管人,基金经理人,成立来分红,管理费率,托管费率,销售服务费率,最高认购费率,业绩比较基准,跟踪标的,最高申购费率,最高赎回费率,规模_亿元,成立日期
华夏成长证券投资基金,华夏成长混合,000001,混合型-灵活,2001年11月28日,2001年12月18日 / 32.368亿份,29.37亿元（截止至：2025年12月31日）,27.1185亿份（截止至：2025年12月31日）,华夏基金,建设银行,郑晓辉、刘睿聪,每份累计2.57元（25次）,1.20%（每年）,0.20%（每年）,'---（每年）,1.00%（前端）,该基金暂未披露业绩比较基准,该基金无跟踪标的,,,29.37,2001-12-18
西部利得量化成长混合型发起式证券投资基金,西部利得量化成长混合A,000006,混合型-偏股,2019年02月15日,2019年03月19日 / 1.779亿份,10.60亿元（截止至：2025年12月31日）,4.1101亿份（截止至：2025年12月31日）,西部利得基金,农业银行,盛丰衍,每份累计0.33元（3次）,1.20%（每年）,0.10%（每年）,0.00%（每年）,1.20%（前端） 天天基金优惠费率：0.12%（前端）,中证500指数收益率*75%+同期银行活期存款利率(税后)*25%,该基金无跟踪标的,,,10.6,2019-03-19
华夏大盘精选证券投资基金,华夏大盘精选混合A,000011,混合型-灵活,2004年07月06日,2004年08月11日 / 19.280亿份,39.89亿元（截止至：2025年12月31日）,2.0341亿份（截止至：2025年12月31日）,华夏基金,中国银行,屠环宇,每份累计7.31元（23次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.00%（前端）,新华富时中国A200指数*80%+新华富时中国国债指数*20%,该基金无跟踪标的,,,39.89,2004-08-11
财通可持续发展主题混合型证券投资基金,财通可持续混合,000017,混合型-偏股,2013年02月25日,2013年03月27日 / 3.148亿份,1.58亿元（截止至：2025年12月31日）,0.672亿份（截止至：2025年12月31日）,财通基金,工商银行,夏钦,每份累计1.82元（11次）,1.20%（每年）,0.20%（每年）,'---（每年）,1.20%（前端）,沪深300指数收益率×80% +上证国债指数收益率×20%,该基金无跟踪标的,,,1.58,2013-03-27
景顺长城品质投资混合型证券投资基金,景顺长城品质投资混合A,000020,混合型-偏股,2013年02月25日,2013年03月19日 / 15.096亿份,3.88亿元（截止至：2025年12月31日）,0.9193亿份（截止至：2025年12月31日）,景顺长城基金,农业银行,詹成,每份累计0.17元（1次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,沪深300指数*80%+中证全债指数*20%,该基金无跟踪标的,,,3.88,2013-03-19
华夏优势增长混合型证券投资基金,华夏优势增长混合,000021,混合型-偏股,2006年11月20日,2006年11月24日 / 141.020亿份,56.57亿元（截止至：2025年12月31日）,17.7814亿份（截止至：2025年12月31日）,华夏基金,建设银行,郑晓辉,每份累计1.17元（4次）,1.20%（每年）,0.20%（每年）,'---（每年）,1.20%（前端）,富时中国A600指数收益率×80%+中债综合指数(财富)收益率×20%,该基金无跟踪标的,,,56.57,2006-11-24
富国宏观策略灵活配置混合型证券投资基金,富国宏观策略灵活配置混合A,000029,混合型-灵活,2013年03月11日,2013年04月12日 / 9.852亿份,2.08亿元（截止至：2025年12月31日）,0.6943亿份（截止至：2025年12月31日）,富国基金,建设银行,袁宜,每份累计0.20元（2次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,沪深300指数收益率*65%+中债综合指数收益率*35%,该基金无跟踪标的,,,2.08,2013-04-12
长城核心优选灵活配置混合型证券投资基金,长城核心优选混合A,000030,混合型-灵活,2013年03月18日,2013年04月18日 / 9.370亿份,0.71亿元（截止至：2025年12月31日）,0.5758亿份（截止至：2025年12月31日）,长城基金,建设银行,向晨,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.00%（前端）,沪深300指数收益率*55%+中债总财富指数收益率*45%,该基金无跟踪标的,,,0.71,2013-04-18
华夏复兴混合型证券投资基金,华夏复兴混合A,000031,混合型-偏股,2007年09月05日,2007年09月10日 / 49.991亿份,17.74亿元（截止至：2025年12月31日）,6.6906亿份（截止至：2025年12月31日）,华夏基金,农业银行,郑煜、黄皓,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,沪深300指数收益率*80%+上证国债指数收益率*20%,该基金无跟踪标的,,,17.74,2007-09-10
农银汇理低估值高增长混合型证券投资基金,农银高增长混合,000039,混合型-偏股,2013年03月04日,2013年03月26日 / 9.714亿份,3.77亿元（截止至：2025年12月31日）,0.7493亿份（截止至：2025年12月31日）,农银汇理基金,交通银行,左腾飞,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,'---（每年）,1.20%（前端）,75%×沪深300指数+25%×中证全债指数,该基金无跟踪标的,,,3.77,2013-03-26
建信消费升级混合型证券投资基金,建信消费升级混合,000056,混合型-灵活,2013年05月15日,2013年06月14日 / 12.434亿份,0.43亿元（截止至：2025年12月31日）,0.2052亿份（截止至：2025年12月31日）,建信基金,民生银行,邱宇航、何珅华,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,'---（每年）,1.20%（前端）,75%×沪深300指数收益率+25%×中国债券总指数收益率,该基金无跟踪标的,,,0.43,2013-06-14
中银消费主题混合型证券投资基金,中银消费主题混合A,000057,混合型-偏股,2013年04月01日,2013年04月25日 / 12.583亿份,0.30亿元（截止至：2025年12月31日）,0.1829亿份（截止至：2025年12月31日）,中银基金,招商银行,杨庆运,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,中证内地消费主题指数收益率*75%+上证国债指数收益率*25%,该基金无跟踪标的,,,0.3,2013-04-25
国联安安泰灵活配置混合型证券投资基金,国联安安泰灵活配置混合A,000058,混合型-灵活,2013年03月22日,2013年04月23日 / 2.435亿份,2.17亿元（截止至：2025年12月31日）,1.3473亿份（截止至：2025年12月31日）,国联安基金,工商银行,刘佃贵、薛琳,每份累计0.12元（1次）,0.90%（每年）,0.20%（每年）,0.00%（每年）,1.00%（前端）,沪深300指数收益率*55%+上证国债指数收益率*45%,该基金无跟踪标的,,,2.17,2013-04-23
华夏盛世精选混合型证券投资基金,华夏盛世混合,000061,混合型-偏股,2009年12月09日,2009年12月11日 / 187.102亿份,10.02亿元（截止至：2025年12月31日）,5.2796亿份（截止至：2025年12月31日）,华夏基金,建设银行,连骁,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,'---（每年）,1.20%（前端）,沪深300指数×80%+上证国债指数×20%,该基金无跟踪标的,,,10.02,2009-12-11
长盛电子信息主题灵活配置混合型证券投资基金,长盛电子信息主题混合A,000063,混合型-灵活,2013年04月03日,2013年05月10日 / 3.085亿份,2.37亿元（截止至：2025年12月31日）,1.3806亿份（截止至：2025年12月31日）,长盛基金,中国银行,朱律,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.00%（前端）,中证TMT产业主题指数收益率*50%+中证综合债指数收益率*50%,该基金无跟踪标的,,,2.37,2013-05-10
富兰克林国海焦点驱动灵活配置混合型证券投资基金,国富焦点驱动混合A,000065,混合型-灵活,2013年04月08日,2013年05月07日 / 5.612亿份,0.48亿元（截止至：2025年12月31日）,0.222亿份（截止至：2025年12月31日）,国海富兰克林基金,农业银行,刘怡敏、刘晓,每份累计0.27元（5次）,0.90%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,沪深300指数收益率*60%+中债国债总指数收益率(全价)*40%,该基金无跟踪标的,,,0.48,2013-05-07
诺安鸿鑫混合型证券投资基金,诺安鸿鑫混合A,000066,混合型-偏股,2013年04月08日,2013年05月03日 / 9.463亿份,0.59亿元（截止至：2025年12月31日）,0.2598亿份（截止至：2025年12月31日）,诺安基金,工商银行,李迪,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.00%（前端）,沪深300指数收益率*80%+中证全债指数收益率*20%,该基金无跟踪标的,,,0.59,2013-05-03
华安稳健回报混合型证券投资基金,华安稳健回报混合A,000072,混合型-灵活,2013年04月11日,2013年05月14日 / 9.019亿份,0.89亿元（截止至：2025年12月31日）,0.6519亿份（截止至：2025年12月31日）,华安基金,建设银行,朱才敏,每份累计0.00元（0次）,0.70%（每年）,0.20%（每年）,0.00%（每年）,1.00%（前端）,60%×沪深300指数收益率+40%×中国债券总指数收益率,该基金无跟踪标的,,,0.89,2013-05-14
摩根成长动力混合型证券投资基金,摩根成长动力混合A,000073,混合型-灵活,2013年04月15日,2013年05月15日 / 17.721亿份,2.23亿元（截止至：2025年12月31日）,0.8655亿份（截止至：2025年12月31日）,摩根基金(中国),中国银行,杨景喻、叶敏,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,沪深300指数收益率*80%+中债总指数收益率*20%,该基金无跟踪标的,,,2.23,2013-05-15
嘉实研究阿尔法股票型证券投资基金,嘉实研究阿尔法股票A,000082,股票型,2013年05月02日,2013年05月28日 / 3.658亿份,4.84亿元（截止至：2025年12月31日）,2.2471亿份（截止至：2025年12月31日）,嘉实基金,农业银行,张露、肖觅,每份累计0.83元（3次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.00%（前端）,MSCI中国A股指数收益率*95%+银行活期存款利率(税后)*5%,该基金无跟踪标的,,,4.84,2013-05-28
汇添富消费行业混合型证券投资基金,汇添富消费行业混合,000083,混合型-偏股,2013年04月08日,2013年05月03日 / 8.464亿份,89.23亿元（截止至：2025年12月31日）,17.5921亿份（截止至：2025年12月31日）,汇添富基金,建设银行,胡昕炜,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,'---（每年）,1.20%（前端）,中证主要消费行业指数 × 40% + 中证可选消费行业指数× 40% + 上证国债指数× 20%,该基金无跟踪标的,,,89.23,2013-05-03
广发轮动配置混合型证券投资基金,广发轮动配置混合,000117,混合型-偏股,2013年04月26日,2013年05月28日 / 40.346亿份,2.48亿元（截止至：2025年12月31日）,1.1592亿份（截止至：2025年12月31日）,广发基金,工商银行,吴兴武,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,'---（每年）,1.20%（前端）,80%×沪深300指数+20%×中证全债指数,该基金无跟踪标的,,,2.48,2013-05-28
中银美丽中国混合型证券投资基金,中银美丽中国混合,000120,混合型-偏股,2013年05月13日,2013年06月07日 / 12.583亿份,0.34亿元（截止至：2025年12月31日）,0.1299亿份（截止至：2025年12月31日）,中银基金,民生银行,严菲,每份累计0.04元（1次）,1.20%（每年）,0.20%（每年）,'---（每年）,1.20%（前端）,沪深300指数收益率×80%+中债综合指数收益率×20%,该基金无跟踪标的,,,0.34,2013-06-07
华宝服务优选混合型证券投资基金,华宝服务优选混合,000124,混合型-偏股,2013年06月03日,2013年06月27日 / 14.491亿份,6.23亿元（截止至：2025年12月31日）,1.4921亿份（截止至：2025年12月31日）,华宝基金,建设银行,蔡目荣,每份累计0.30元（1次）,1.20%（每年）,0.20%（每年）,'---（每年）,1.20%（前端）,中证服务业指数收益率×80%+上证国债指数收益率×20%,该基金无跟踪标的,,,6.23,2013-06-27
招商安润灵活配置混合型证券投资基金,招商安润灵活配置混合A,000126,混合型-灵活,2013年04月16日,2013年04月19日 / 42.704亿份,2.94亿元（截止至：2025年12月31日）,1.3052亿份（截止至：2025年12月31日）,招商基金,中国银行,任琳娜,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,沪深300指数收益率*55%+中债综合全价(总值)指数收益率*45%,该基金无跟踪标的,,,2.94,2013-04-19
农银汇理行业领先混合型证券投资基金,农银行业领先混合,000127,混合型-偏股,2013年06月03日,2013年06月25日 / 8.637亿份,6.80亿元（截止至：2025年12月31日）,2.3504亿份（截止至：2025年12月31日）,农银汇理基金,交通银行,张峰,每份累计0.39元（1次）,1.20%（每年）,0.20%（每年）,'---（每年）,1.20%（前端）,75%×沪深300指数+25%×中证全债指数,该基金无跟踪标的,,,6.8,2013-06-25
民生加银策略精选灵活配置混合型证券投资基金,民生加银策略精选混合A,000136,混合型-灵活,2013年05月09日,2013年06月07日 / 4.148亿份,13.34亿元（截止至：2025年12月31日）,3.1842亿份（截止至：2025年12月31日）,民生加银基金,建设银行,孙伟,每份累计0.36元（1次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,沪深300指数收益率*60%+中债国债总指数收益率(全价)*40%,该基金无跟踪标的,,,13.34,2013-06-07
富国通胀通缩主题轮动混合型证券投资基金,富国通胀通缩主题轮动混合A,000155,混合型-偏股,2010年04月08日,2010年05月12日 / 14.862亿份,12.89亿元（截止至：2025年12月31日）,1.7883亿份（截止至：2025年12月31日）,富国基金,工商银行,曹晋,每份累计0.05元（2次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,沪深300指数收益率×80%+中债综合指数收益率×20%,该基金无跟踪标的,,,12.89,2010-05-12
富国低碳环保混合型证券投资基金,富国低碳环保混合,000158,混合型-偏股,2011年07月11日,2011年08月10日 / 10.397亿份,10.26亿元（截止至：2025年12月31日）,4.3784亿份（截止至：2025年12月31日）,富国基金,招商银行,汤启,每份累计0.60元（2次）,1.20%（每年）,0.20%（每年）,'---（每年）,1.20%（前端）,沪深300指数收益率×80%+中债综合指数收益率×20%,该基金无跟踪标的,,,10.26,2011-08-10
富国高新技术产业混合型证券投资基金,富国高新技术产业混合,000159,混合型-偏股,2012年06月04日,2012年06月27日 / 3.412亿份,12.72亿元（截止至：2025年12月31日）,3.4029亿份（截止至：2025年12月31日）,富国基金,工商银行,李元博,每份累计0.65元（2次）,1.20%（每年）,0.20%（每年）,'---（每年）,1.20%（前端）,中证800指数收益率×80%+中债综合指数收益率×20%,该基金无跟踪标的,,,12.72,2012-06-27
国投瑞银策略精选灵活配置混合型证券投资基金,国投瑞银策略精选混合,000165,混合型-灵活,2013年09月09日,2013年09月27日 / 5.800亿份,7.44亿元（截止至：2025年12月31日）,3.367亿份（截止至：2025年12月31日）,国投瑞银基金,中国银行,吉莉,每份累计2.03元（14次）,1.20%（每年）,0.20%（每年）,'---（每年）,1.20%（前端）,55%×沪深300指数+45%×中债总指数,该基金无跟踪标的,,,7.44,2013-09-27
中海信息产业精选混合型证券投资基金,中海信息产业混合A,000166,混合型-偏股,2013年07月02日,2013年07月31日 / 3.139亿份,0.65亿元（截止至：2025年12月31日）,0.4437亿份（截止至：2025年12月31日）,中海基金,浦发银行,姚晨曦,每份累计0.06元（1次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.00%（前端）,中证TMT产业主题指数收益率*80%+中证全债指数收益率*20%,该基金无跟踪标的,,,0.65,2013-07-31
广发聚优灵活配置混合型证券投资基金,广发聚优灵活配置混合A,000167,混合型-灵活,2013年08月12日,2013年09月11日 / 33.192亿份,2.22亿元（截止至：2025年12月31日）,0.8714亿份（截止至：2025年12月31日）,广发基金,中国银行,李耀柱、王丽媛,每份累计0.21元（1次）,1.20%（每年）,0.20%（每年）,'---（每年）,1.20%（前端）,50%×沪深300指数+50%×中证全债指数,该基金无跟踪标的,,,2.22,2013-09-11
华泰柏瑞量化增强混合型证券投资基金,华泰柏瑞量化增强混合A,000172,混合型-偏股,2013年06月19日,2013年08月02日 / 3.332亿份,13.80亿元（截止至：2025年12月31日）,8.144亿份（截止至：2025年12月31日）,华泰柏瑞基金,中国银行,徐帅宇、盛豪,每份累计1.26元（7次）,1.00%（每年）,0.20%（每年）,0.00%（每年）,1.00%（前端）,"沪深300指数收益率*95%+2.5%(指年收益率,评价时按期间折算)",该基金无跟踪标的,,,13.8,2013-08-02
汇添富美丽30混合型证券投资基金,汇添富美丽30混合A,000173,混合型-偏股,2013年05月27日,2013年06月25日 / 6.691亿份,11.90亿元（截止至：2025年12月31日）,3.5069亿份（截止至：2025年12月31日）,汇添富基金,工商银行,王栩,每份累计0.25元（2次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,沪深300指数收益率*80%+中证全债指数收益率*20%,该基金无跟踪标的,,,11.9,2013-06-25
中银新回报灵活配置混合型证券投资基金,中银新回报灵活配置混合A,000190,混合型-灵活,2013年08月07日,2013年09月10日 / 10.387亿份,6.78亿元（截止至：2025年12月31日）,3.7409亿份（截止至：2025年12月31日）,中银基金,招商银行,李建,每份累计0.32元（3次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.00%（前端）,沪深300指数收益率×50%+中债综合指数收益率×45%+银行活期存款利率(税后)×5%,该基金无跟踪标的,,,6.78,2013-09-10
工银瑞信成长收益混合型证券投资基金,工银成长收益混合A,000195,混合型-灵活,2013年06月03日,2013年06月26日 / 4.754亿份,0.47亿元（截止至：2025年12月31日）,0.2641亿份（截止至：2025年12月31日）,工银瑞信基金,招商银行,张洋,每份累计0.00元（0次）,0.60%（每年）,0.15%（每年）,0.00%（每年）,1.00%（前端）,60%×沪深300指数+40%×中证全债指数,该基金无跟踪标的,,,0.47,2013-06-26
工银瑞信成长收益混合型证券投资基金,工银成长收益混合B,000196,混合型-灵活,2013年06月03日,2013年06月26日 / 4.754亿份,0.31亿元（截止至：2025年12月31日）,0.1852亿份（截止至：2025年12月31日）,工银瑞信基金,招商银行,张洋,每份累计0.00元（0次）,0.60%（每年）,0.15%（每年）,0.60%（每年）,0.00%（前端）,60%×沪深300指数+40%×中证全债指数,该基金无跟踪标的,0.00%（前端）,1.50%（前端）,0.31,2013-06-26
国泰量化策略收益混合型证券投资基金,国泰量化策略收益混合A,000199,混合型-偏股,2013年07月12日,2013年08月12日 / 2.046亿份,2.53亿元（截止至：2025年12月31日）,1.4574亿份（截止至：2025年12月31日）,国泰基金,建设银行,高崇南、贺天元,每份累计0.22元（1次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.00%（前端）,沪深300指数收益率*75%+中证综合债指数收益率*25%,该基金无跟踪标的,,,2.53,2013-08-12
中信保诚新兴产业混合型证券投资基金,中信保诚新兴产业混合A,000209,混合型-偏股,2013年06月17日,2013年07月17日 / 2.875亿份,15.99亿元（截止至：2025年12月31日）,5.8011亿份（截止至：2025年12月31日）,中信保诚基金,中国银行,孙浩中,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,中证新兴产业指数收益率*80%+中证综合债指数收益率*20%,该基金无跟踪标的,,,15.99,2013-07-17
广发成长优选灵活配置混合型证券投资基金,广发成长优选混合,000214,混合型-灵活,2013年11月11日,2013年12月11日 / 3.506亿份,1.97亿元（截止至：2025年12月31日）,1.1982亿份（截止至：2025年12月31日）,广发基金,交通银行,姚秋,每份累计0.63元（9次）,0.60%（每年）,0.10%（每年）,'---（每年）,1.20%（前端）,50%×沪深300指数+50%×中证全债指数,该基金无跟踪标的,,,1.97,2013-12-11
广发趋势优选灵活配置混合型证券投资基金,广发趋势优选灵活配置混合A,000215,混合型-灵活,2013年08月19日,2013年09月11日 / 4.134亿份,7.16亿元（截止至：2025年12月31日）,4.1041亿份（截止至：2025年12月31日）,广发基金,农业银行,谭昌杰,每份累计0.40元（6次）,0.60%（每年）,0.15%（每年）,0.00%（每年）,1.20%（前端）,50%×沪深300指数+50%×中证全债指数,该基金无跟踪标的,,,7.16,2013-09-11
博时裕益灵活配置混合型证券投资基金,博时裕益混合A,000219,混合型-灵活,2013年06月28日,2013年07月29日 / 13.947亿份,1.38亿元（截止至：2025年12月31日）,0.4449亿份（截止至：2025年12月31日）,博时基金,建设银行,王冠桥,每份累计0.25元（2次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,年化收益率7%,该基金无跟踪标的,,,1.38,2013-07-29
富国医疗保健行业混合型证券投资基金,富国医疗保健行业混合A,000220,混合型-偏股,2013年07月10日,2013年08月07日 / 7.130亿份,7.67亿元（截止至：2025年12月31日）,2.3834亿份（截止至：2025年12月31日）,富国基金,工商银行,孙笑悦,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,中证医药卫生指数收益率×80%+中债综合指数收益率×20%,该基金无跟踪标的,,,7.67,2013-08-07
宝盈核心优势灵活配置混合型证券投资基金,宝盈核心优势混合C,000241,混合型-灵活,2009年02月05日,2013年08月01日 / --,0.12亿元（截止至：2025年12月31日）,0.1561亿份（截止至：2025年12月31日）,宝盈基金,中国银行,吕功绩,每份累计1.57元（86次）,1.20%（每年）,0.20%（每年）,0.50%（每年）,'---（前端）,沪深300指数×65%+上证国债指数×35%,该基金无跟踪标的,0.00%（前端）,1.50%（前端）,0.12,2013-08-01
景顺长城策略精选灵活配置混合型证券投资基金,景顺长城策略精选灵活配置混合A,000242,混合型-灵活,2013年07月01日,2013年08月07日 / 15.264亿份,11.76亿元（截止至：2025年12月31日）,3.4729亿份（截止至：2025年12月31日）,景顺长城基金,中国银行,张靖,每份累计0.55元（3次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,沪深300指数*50%+中证全债指数*50%,该基金无跟踪标的,,,11.76,2013-08-07
工银瑞信金融地产行业混合型证券投资基金,工银金融地产混合A,000251,混合型-偏股,2013年07月17日,2013年08月26日 / 2.210亿份,12.05亿元（截止至：2025年12月31日）,4.1062亿份（截止至：2025年12月31日）,工银瑞信基金,兴业银行,鄢耀,每份累计1.04元（4次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,80%×沪深300金融地产行业指数收益率+20%×上证国债指数收益率,该基金无跟踪标的,,,12.05,2013-08-26
农银汇理区间收益灵活配置混合型证券投资基金,农银区间收益混合,000259,混合型-灵活,2013年07月29日,2013年08月21日 / 6.043亿份,3.23亿元（截止至：2025年12月31日）,0.6204亿份（截止至：2025年12月31日）,农银汇理基金,建设银行,魏刚,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,'---（每年）,1.20%（前端）,S×沪深300指数+(100%-S)×中证全债指数,该基金无跟踪标的,,,3.23,2013-08-21
工银瑞信信息产业混合型证券投资基金,工银信息产业混合A,000263,混合型-偏股,2013年10月09日,2013年11月11日 / 2.271亿份,8.76亿元（截止至：2025年12月31日）,2.2152亿份（截止至：2025年12月31日）,工银瑞信基金,农业银行,单文,每份累计0.28元（1次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,80%×中证TMT产业主题指数收益率+20%×上证国债指数收益率,该基金无跟踪标的,,,8.76,2013-11-11
博时内需增长灵活配置混合型证券投资基金,博时内需增长混合A,000264,混合型-灵活,2013年07月15日,2013年07月15日 / 20.000亿份,1.33亿元（截止至：2025年12月31日）,1.5219亿份（截止至：2025年12月31日）,博时基金,农业银行,陈雷,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,'---（前端）,沪深300指数收益率*60%+中证全债指数收益率*40%,该基金无跟踪标的,,,1.33,2013-07-15
建信灵活配置混合型证券投资基金,建信灵活配置混合A,000270,混合型-灵活,2013年08月05日,2013年09月03日 / 11.859亿份,2.49亿元（截止至：2025年12月31日）,1.4235亿份（截止至：2025年12月31日）,建信基金,民生银行,叶乐天、郭志腾,每份累计0.00元（0次）,1.00%（每年）,0.20%（每年）,0.00%（每年）,1.00%（前端）,中证2000指数收益率*90%+银行活期存款利率(税后)*10%,该基金无跟踪标的,,,2.49,2013-09-03
华润元大安鑫灵活配置混合型证券投资基金,华润元大安鑫灵活配置混合A,000273,混合型-灵活,2013年08月19日,2013年09月11日 / 6.303亿份,0.08亿元（截止至：2025年12月31日）,0.0388亿份（截止至：2025年12月31日）,华润元大基金,农业银行,李武群、洪潇,每份累计0.72元（1次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.00%（前端）,沪深300指数收益率×60%+中债综合指数收益率×25%+恒生指数收益率×15%,该基金无跟踪标的,,,0.08,2013-09-11
华商红利优选灵活配置混合型证券投资基金,华商红利优选混合,000279,混合型-灵活,2013年08月19日,2013年09月17日 / 5.400亿份,1.65亿元（截止至：2025年12月31日）,2.0662亿份（截止至：2025年12月31日）,华商基金,工商银行,邓默,每份累计1.56元（16次）,1.20%（每年）,0.20%（每年）,'---（每年）,1.20%（前端）,中证红利指数收益率×55%+上证国债指数收益率×45%,该基金无跟踪标的,,,1.65,2013-09-17
华安生态优先混合型证券投资基金,华安生态优先混合A,000294,混合型-偏股,2013年11月01日,2013年11月28日 / 9.527亿份,7.81亿元（截止至：2025年12月31日）,2.8103亿份（截止至：2025年12月31日）,华安基金,建设银行,陈媛,每份累计0.49元（1次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端） 天天基金优惠费率：0.12%（前端）,中证800指数收益率*80%+中国债券总指数收益率*20%,该基金无跟踪标的,,,7.81,2013-11-28
建信创新中国混合型证券投资基金,建信创新中国混合,000308,混合型-偏股,2013年08月26日,2013年09月24日 / 9.385亿份,3.58亿元（截止至：2025年12月31日）,0.5267亿份（截止至：2025年12月31日）,建信基金,中信银行,邵卓,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,'---（每年）,1.20%（前端）,75%×沪深300指数收益率+25%中国债券总指数收益率,该基金无跟踪标的,,,3.58,2013-09-24
摩根士丹利品质生活精选股票型证券投资基金,大摩品质生活精选股票A,000309,股票型,2013年09月23日,2013年10月29日 / 27.543亿份,2.76亿元（截止至：2025年12月31日）,0.6341亿份（截止至：2025年12月31日）,摩根士丹利基金,建设银行,缪东航、赵伟捷,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,沪深300指数收益率*85%+标普中国债券指数收益率*15%,该基金无跟踪标的,,,2.76,2013-10-29
招商瑞丰灵活配置混合型发起式证券投资基金,招商瑞丰灵活配置混合发起式A,000314,混合型-灵活,2013年10月14日,2013年11月06日 / 9.303亿份,0.31亿元（截止至：2025年12月31日）,0.1404亿份（截止至：2025年12月31日）,招商基金,中国银行,王刚,每份累计0.21元（3次）,0.60%（每年）,0.15%（每年）,0.00%（每年）,1.20%（前端）,60%×沪深300指数收益率+40%×中债综合指数收益率,该基金无跟踪标的,,,0.31,2013-11-06
南方中小盘成长股票型证券投资基金,南方中小盘成长股票A,000326,股票型,2015年09月29日,2015年10月28日 / 29.794亿份,2.34亿元（截止至：2025年12月31日）,2.0355亿份（截止至：2025年12月31日）,南方基金,工商银行,吴剑毅,每份累计0.83元（11次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.00%（前端）,中证700指数收益率*80%+上证国债指数收益率*20%,该基金无跟踪标的,,,2.34,2015-10-28
南方潜力新蓝筹混合型证券投资基金,南方潜力新蓝筹混合A,000327,混合型-偏股,2015年05月14日,2015年05月29日 / 29.829亿份,4.35亿元（截止至：2025年12月31日）,1.5925亿份（截止至：2025年12月31日）,南方基金,建设银行,钟贇,每份累计0.23元（2次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.00%（前端）,中证700指数收益率*80%+上证国债指数收益率*20%,该基金无跟踪标的,,,4.35,2015-05-29
摩根转型动力灵活配置混合型证券投资基金,摩根转型动力混合A,000328,混合型-灵活,2013年10月24日,2013年11月25日 / 15.211亿份,1.72亿元（截止至：2025年12月31日）,0.7414亿份（截止至：2025年12月31日）,摩根基金(中国),建设银行,杨景喻,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,沪深300指数收益率*80%+中债总指数收益率*20%,该基金无跟踪标的,,,1.72,2013-11-25
农银汇理研究精选灵活配置混合型证券投资基金,农银研究精选混合,000336,混合型-灵活,2013年10月14日,2013年11月05日 / 7.653亿份,19.48亿元（截止至：2025年12月31日）,5.1665亿份（截止至：2025年12月31日）,农银汇理基金,建设银行,陈富权,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,'---（每年）,1.20%（前端）,65%×沪深300指数+35%×中证全债指数,该基金无跟踪标的,,,19.48,2013-11-05
